id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
68,1741864721.2290447,6.0,,,1,1,444,444,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
69,1741864721.2305546,6.0,,,1,1,96,96,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
70,1741864721.2927134,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
71,1741864721.2988641,6.0,,,1,1,1136,1136,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
72,1741864721.3136275,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
73,1741864721.3247526,6.0,,,1,1,96,96,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
74,1741864721.3696966,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
75,1741864721.534909,,,,1,1,0,0,1.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
76,1741864721.535906,,,,1,1,0,0,1.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
77,1741864721.5730622,17.0,,,1,1,69,69,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
78,1741864721.5740595,17.0,,,1,1,69,69,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
79,1741864721.5780485,,,,1,1,0,0,1.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
80,1741864721.580554,17.0,,,1,1,133,133,1.0,64.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
81,1741864721.5934155,,,,1,1,0,0,1.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
82,1741864721.5945067,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
83,1741864721.6361837,17.0,,,1,1,525,525,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
84,1741864721.6372628,17.0,,,1,1,525,525,1.0,64.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
85,1741864721.6372628,17.0,,,1,1,565,565,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
86,1741864721.6382806,17.0,,,1,1,581,581,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
87,1741864721.6393628,17.0,,,1,1,581,581,1.0,64.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
88,1741864721.901792,6.0,,,1,1,52,52,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
89,1741864721.9027953,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
90,1741864721.907781,6.0,,,1,1,815,815,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
91,1741864722.230571,6.0,,,1,1,40,40,1.0,238.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
92,1741864722.412406,6.0,,,1,1,99,99,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
93,1741864722.4569557,6.0,,,1,1,46,46,1.0,52.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
